,Ranking number,Brand,Brand Value,Platform,Brand Representation,Brand Growth,Rank Change,Followers,Following,Likes,Date created,Posts,Account Grade,Followers Rank,Following Rank,Posts Rank,Followers 30 Days,Following 30 Days,Posts 30 Days
75,61,Nissan,"12,212",twitter,nissancanada,+10%,DOWN 2 PLACES,"26,611","2,753","4,524","May 2nd, 2011","12,936",B-,"357,292nd","513,254th","1,973,776th",-3 95.2%,-3 95.2%,13 333.3%
76,61,Nissan,"12,212",twitter,NissanUSA,+10%,DOWN 2 PLACES,"808,196",285,"7,002","Apr 20th, 2009","53,902",B,"13,074th","5,499,285th","452,821st",768 23.9%,768 23.9%,153 10.9%
77,61,Nissan,"12,212",twitter,Nissan,+10%,DOWN 2 PLACES,"807,207",470,"4,745","Feb 28th, 2011","9,288",B,"13,096th","4,102,294th","2,482,577th",833 24.9%,833 24.9%,-1 0.0%
78,62,HP Inc.,"11,884",twitter,HPCanada,+13%,UP 1 PLACE,"15,586",489,"1,215","Feb 13th, 2014","4,508",C+,"537,636th","3,989,998th","3,701,184th",-4 85.7%,-4 85.7%,-1 50%
79,62,HP Inc.,"11,884",twitter,HP_Newsroom,+13%,UP 1 PLACE,"7,782","1,186","3,576","Feb 25th, 2016","3,215",C+,"880,099th","1,735,833rd","4,290,402nd",-12 33.3%,-12 33.3%,-1 0.0%
80,62,HP Inc.,"11,884",twitter,HPSupport,+13%,UP 1 PLACE,"94,495",29,"1,573","Mar 5th, 2009","380,826",B-,"125,873rd","8,852,780th","11,649th","187 1,600.0%","187 1,600.0%",1.905K 18.5%
81,62,HP Inc.,"11,884",twitter,HP,+13%,UP 1 PLACE,"1,187,308","2,459","8,248","Nov 5th, 2008","62,645",B+,"8,435th","603,207th","366,696th",1.707K 116.6%,1.707K 116.6%,940 19.9%
82,63,LEGO,"11,846",twitter,LEGOMarvelGame,+30%,UP 8 PLACES,"47,904",98,"1,806","Apr 2nd, 2013","2,448",B-,"223,472nd","7,632,795th","4,759,855th",-51 57.5%,-51 57.5%,-1 50%
83,63,LEGO,"11,846",twitter,LEGO_Education,+30%,UP 8 PLACES,"101,988","1,392","11,436","Jun 24th, 2009","14,721",B-,"117,524th","1,443,278th","1,787,762nd",409 952.1%,409 952.1%,6 62.5%
84,63,LEGO,"11,846",twitter,LEGOIdeas,+30%,UP 8 PLACES,"231,025",49,761,"Nov 30th, 2010","5,456",B-,"52,115th","8,444,202nd","3,370,718th",2.734K 386.5%,2.734K 386.5%,29 123.1%
85,63,LEGO,"11,846",twitter,LEGO_Group,+30%,UP 8 PLACES,"980,786","1,014","36,219","May 8th, 2011","78,251",B,"10,555th","2,056,515th","262,182nd",7.369K 559.1%,7.369K 559.1%,686 2.1%
86,64,Red Bull,"11,547",twitter,redbullgaming,NEW,NEW,"362,313",696,"50,159","Aug 6th, 2010","40,076",B,"32,175th","3,019,820th","663,792nd",-300 117.6%,-300 117.6%,55 87.5%
87,64,Red Bull,"11,547",twitter,redbullracing,NEW,NEW,"4,271,988","12,307","10,741","Dec 13th, 2010","34,160",B+,"1,619th","53,412th","800,513th",13.567K 34.3%,13.567K 34.3%,44 72.3%
88,64,Red Bull,"11,547",twitter,RedBullCanada,NEW,NEW,"49,887",930,"7,470","Apr 30th, 2009","12,726",B-,"216,092nd","2,270,714th","1,997,807th",-74 28.2%,-74 28.2%,-6 109.1%
89,64,Red Bull,"11,547",twitter,redbull,NEW,NEW,"2,025,582","25,287","25,651","Nov 21st, 2008","100,399",B+,"4,361st","22,343rd","174,141st",-69 93.6%,-69 93.6%,64 27.3%
90,65,HSBC,"11,247",twitter,HSBC_Sport,+9%,DOWN 1 PLACE,"33,118","1,177","4,408","Jan 29th, 2014","5,828",B-,"300,929th","1,751,081st","3,256,745th",123 623.5%,123 623.5%,-1 0.0%
91,65,HSBC,"11,247",twitter,HSBC_US,+9%,DOWN 1 PLACE,"11,606",45,65,"Apr 22nd, 2014","17,745",C+,"667,577th","8,530,780th","1,532,053rd",46 4%,46 4%,26 116.7%
92,65,HSBC,"11,247",twitter,HSBC_CA,+9%,DOWN 1 PLACE,"3,563",163,289,"Oct 22nd, 2015","9,724",C,"1,460,571st","6,783,960th","2,410,372nd",17 55.3%,17 55.3%,14 40.0%
93,65,HSBC,"11,247",twitter,HSBC,+9%,DOWN 1 PLACE,"198,718",22,343,"Jan 18th, 2012","3,901",B-,"61,028th","9,006,161st","3,952,729th",275 19.0%,275 19.0%,--
94,66,Morgan Stanley,"11,039",twitter,etrade,+18%,UP 3 PLACES,"85,153",536,"1,570","Apr 17th, 2009","20,763",B-,"137,552nd","3,732,891st","1,333,453rd",339 84.2%,339 84.2%,50 41.2%
95,66,Morgan Stanley,"11,039",twitter,MorganStanley,+18%,UP 3 PLACES,"676,110",224,9,"Dec 1st, 2011","11,348",B,"16,040th","6,095,220th","2,169,924th",3.345K 8.8%,3.345K 8.8%,49 53.1%
96,67,Nestlé,"10,921",twitter,NestleHealthUS,+3%,DOWN 5 PLACES,"2,989",265,208,"Sep 13th, 2016",794,C,"1,631,005th","5,686,918th","6,516,266th",4 500%,4 500%,--
